Filename	Sweep	D	TruncErr_right(201)	TruncErr_left(202)
Kondo2LayerJh4U18t21Jperp0.5.log::D6000	1	6000	1.26e-05	1.31e-05
Kondo2LayerJh4U18t21Jperp0.5.log::D6000	2	6000	1.26e-05	1.26e-05
Kondo2LayerJh4U18t21Jperp0.5.log::D6000	3	6000	1.25e-05	1.25e-05
Kondo2LayerJh4U18t21Jperp0.5.log::D6000	4	6000	1.24e-05	1.24e-05
Kondo2LayerJh4U18t21Jperp0.5.log::D6000	5	6000	1.24e-05	1.24e-05
Kondo2LayerJh4U18t21Jperp0.5.log::D6000	6	6000	1.23e-05	1.23e-05
Kondo2LayerJh4U18t21Jperp0.5.log::D6000	7	6000	1.23e-05	1.23e-05
Kondo2LayerJh4U18t21Jperp0.5.log::D7000	1	7000	7.13e-06	9.04e-06
Kondo2LayerJh4U18t21Jperp0.5.log::D7000	2	7000	9.62e-06	9.82e-06
Kondo2LayerJh4U18t21Jperp0.5.log::D7000	3	7000	9.84e-06	9.90e-06
Kondo2LayerJh4U18t21Jperp0.5.log::D7000	4	7000	9.90e-06	9.92e-06
Kondo2LayerJh4U18t21Jperp0.5.log::D7000	5	7000	9.92e-06	9.94e-06
Kondo2LayerJh4U18t21Jperp0.5.log::D7000	6	7000	9.94e-06	9.95e-06
Kondo2LayerJh4U18t21Jperp0.5.log::D7000	7	7000	9.95e-06	9.96e-06
Kondo2LayerJh4U18t21Jperp0.5.log::D8000	1	8000	6.21e-06	7.61e-06
Kondo2LayerJh4U18t21Jperp0.5.log::D8000	2	8000	7.99e-06	8.15e-06
Kondo2LayerJh4U18t21Jperp0.5.log::D8000	3	8000	8.18e-06	8.23e-06
Kondo2LayerJh4U18t21Jperp0.5.log::D8000	4	8000	8.22e-06	8.24e-06
Kondo2LayerJh4U18t21Jperp0.5.log::D8000	5	8000	8.25e-06	8.26e-06
Kondo2LayerJh4U18t21Jperp0.5.log::D8000	6	8000	8.26e-06	8.27e-06
Kondo2LayerJh4U18t21Jperp0.5.log::D8000	7	8000	8.28e-06	8.29e-06
Kondo2LayerJh4U18t21Jperp0.5.log::D10000	1	10000	3.69e-06	5.26e-06
Kondo2LayerJh4U18t21Jperp0.5.log::D10000	2	10000	5.84e-06	5.98e-06
Kondo2LayerJh4U18t21Jperp0.5.log::D10000	3	10000	6.05e-06	6.11e-06
Kondo2LayerJh4U18t21Jperp0.5.log::D10000	4	10000	6.10e-06	6.12e-06
Kondo2LayerJh4U18t21Jperp0.5.log::D10000	5	10000	6.12e-06	6.13e-06
Kondo2LayerJh4U18t21Jperp0.5.log::D10000	6	10000	6.13e-06	6.14e-06
Kondo2LayerJh4U18t21Jperp0.5.log::D10000	7	10000	6.14e-06	6.15e-06
Kondo2LayerJh4U18t21Jperp0.5.log::D12000	1	12000	3.24e-06	4.31e-06
Kondo2LayerJh4U18t21Jperp0.5.log::D12000	2	12000	4.67e-06	4.75e-06
Kondo2LayerJh4U18t21Jperp0.5.log::D12000	3	12000	4.81e-06	4.84e-06
Kondo2LayerJh4U18t21Jperp0.5.log::D12000	4	12000	4.86e-06	4.87e-06
Kondo2LayerJh4U18t21Jperp0.5.log::D12000	5	12000	4.87e-06	4.88e-06
Kondo2LayerJh4U18t21Jperp0.5.log::D15000	1	15000	2.21e-06	3.12e-06
Kondo2LayerJh4U18t21Jperp0.5.log::D15000	2	15000	3.45e-06	3.52e-06
Kondo2LayerJh4U18t21Jperp0.5.log::D15000	3	15000	3.58e-06	3.59e-06
Kondo2LayerJh4U18t21Jperp0.5.log::D15000	4	15000	3.61e-06	3.63e-06
Kondo2LayerJh4U18t21Jperp0.5.log::D15000	5	15000	3.63e-06	3.64e-06
