Filename	Sweep	D	TruncErr_right(201)	TruncErr_left(202)
Kondo2LayerJh4U18t21Jperp1.log::D2000	1	2000	8.22e-06	1.53e-05
Kondo2LayerJh4U18t21Jperp1.log::D2000	2	2000	2.37e-05	2.57e-05
Kondo2LayerJh4U18t21Jperp1.log::D2000	3	2000	2.74e-05	2.81e-05
Kondo2LayerJh4U18t21Jperp1.log::D2000	4	2000	2.89e-05	2.96e-05
Kondo2LayerJh4U18t21Jperp1.log::D2000	5	2000	3.06e-05	3.12e-05
Kondo2LayerJh4U18t21Jperp1.log::D2000	6	2000	3.20e-05	3.26e-05
Kondo2LayerJh4U18t21Jperp1.log::D3000	1	3000	6.73e-06	1.49e-05
Kondo2LayerJh4U18t21Jperp1.log::D3000	2	3000	2.04e-05	2.31e-05
Kondo2LayerJh4U18t21Jperp1.log::D3000	3	3000	2.66e-05	1.17e-05
Kondo2LayerJh4U18t21Jperp1.log::D3000	4	3000	1.68e-05	1.84e-05
Kondo2LayerJh4U18t21Jperp1.log::D3000	5	3000	2.03e-05	2.07e-05
Kondo2LayerJh4U18t21Jperp1.log::D3000	6	3000	2.08e-05	2.08e-05
Kondo2LayerJh4U18t21Jperp1.log::D4000	1	4000	7.18e-06	1.16e-05
Kondo2LayerJh4U18t21Jperp1.log::D4000	2	4000	1.36e-05	1.40e-05
Kondo2LayerJh4U18t21Jperp1.log::D4000	3	4000	1.45e-05	1.46e-05
Kondo2LayerJh4U18t21Jperp1.log::D4000	4	4000	1.47e-05	1.48e-05
Kondo2LayerJh4U18t21Jperp1.log::D4000	5	4000	1.48e-05	1.49e-05
Kondo2LayerJh4U18t21Jperp1.log::D4000	6	4000	1.49e-05	1.49e-05
Kondo2LayerJh4U18t21Jperp1.log::D6000	1	6000	3.07e-06	6.20e-06
Kondo2LayerJh4U18t21Jperp1.log::D6000	2	6000	8.14e-06	8.52e-06
Kondo2LayerJh4U18t21Jperp1.log::D6000	3	6000	8.79e-06	8.87e-06
Kondo2LayerJh4U18t21Jperp1.log::D6000	4	6000	8.94e-06	8.98e-06
Kondo2LayerJh4U18t21Jperp1.log::D6000	5	6000	9.01e-06	9.03e-06
Kondo2LayerJh4U18t21Jperp1.log::D6000	6	6000	9.04e-06	9.05e-06
Kondo2LayerJh4U18t21Jperp1.log::D8000	1	8000	3.09e-06	4.94e-06
Kondo2LayerJh4U18t21Jperp1.log::D8000	2	8000	5.74e-06	5.92e-06
Kondo2LayerJh4U18t21Jperp1.log::D8000	3	8000	6.01e-06	6.04e-06
Kondo2LayerJh4U18t21Jperp1.log::D8000	4	8000	6.07e-06	6.08e-06
Kondo2LayerJh4U18t21Jperp1.log::D8000	5	8000	6.10e-06	6.11e-06
Kondo2LayerJh4U18t21Jperp1.log::D8000	6	8000	6.12e-06	6.13e-06
Kondo2LayerJh4U18t21Jperp1.log::D10000	1	10000	2.69e-06	3.81e-06
Kondo2LayerJh4U18t21Jperp1.log::D10000	2	10000	4.26e-06	4.35e-06
Kondo2LayerJh4U18t21Jperp1.log::D10000	3	10000	4.41e-06	4.44e-06
Kondo2LayerJh4U18t21Jperp1.log::D10000	4	10000	4.45e-06	4.47e-06
Kondo2LayerJh4U18t21Jperp1.log::D10000	5	10000	4.47e-06	4.48e-06
Kondo2LayerJh4U18t21Jperp1.log::D10000	6	10000	4.48e-06	4.49e-06
Kondo2LayerJh4U18t21Jperp1.log::D12000	1	12000	2.30e-06	3.04e-06
Kondo2LayerJh4U18t21Jperp1.log::D12000	2	12000	3.33e-06	3.39e-06
Kondo2LayerJh4U18t21Jperp1.log::D12000	3	12000	3.44e-06	3.45e-06
Kondo2LayerJh4U18t21Jperp1.log::D12000	4	12000	3.46e-06	3.47e-06
Kondo2LayerJh4U18t21Jperp1.log::D12000	5	12000	3.47e-06	3.48e-06
Kondo2LayerJh4U18t21Jperp1.log::D12000	6	12000	3.48e-06	3.48e-06
Kondo2LayerJh4U18t21Jperp1.log::D15000	1	15000	1.54e-06	2.17e-06
