Truncation Errors for Middle Bond (201-202) with D>=3000 (Jperp=0)
==============================================================================================================
Filename                Sweep  Site Bond        Direction       TruncErr  Bond Dim
--------------------------------------------------------------------------------------------------------------
Kondo2LayerJh4U18t21Jperp0.1.log     1   201 201-202     right-moving    1.40e-05      6000
Kondo2LayerJh4U18t21Jperp0.1.log     1   202 201-202     left-moving     2.09e-05      6000
Kondo2LayerJh4U18t21Jperp0.1.log     2   201 201-202     right-moving    1.37e-05      6000
Kondo2LayerJh4U18t21Jperp0.1.log     2   202 201-202     left-moving     1.02e-05      6000
Kondo2LayerJh4U18t21Jperp0.1.log     3   201 201-202     right-moving    9.20e-06      6000
Kondo2LayerJh4U18t21Jperp0.1.log     3   202 201-202     left-moving     8.51e-06      6000
Kondo2LayerJh4U18t21Jperp0.1.log     4   201 201-202     right-moving    8.55e-06      6000
Kondo2LayerJh4U18t21Jperp0.1.log     4   202 201-202     left-moving     8.27e-06      6000
Kondo2LayerJh4U18t21Jperp0.1.log     5   201 201-202     right-moving    8.43e-06      6000
Kondo2LayerJh4U18t21Jperp0.1.log     5   202 201-202     left-moving     8.29e-06      6000
Kondo2LayerJh4U18t21Jperp0.1.log     6   201 201-202     right-moving    8.39e-06      6000
Kondo2LayerJh4U18t21Jperp0.1.log     6   202 201-202     left-moving     8.32e-06      6000
Kondo2LayerJh4U18t21Jperp0.1.log     7   201 201-202     right-moving    8.36e-06      6000
Kondo2LayerJh4U18t21Jperp0.1.log     7   202 201-202     left-moving     8.33e-06      6000
Kondo2LayerJh4U18t21Jperp0.1.log     1   201 201-202     right-moving    4.95e-06      7000
Kondo2LayerJh4U18t21Jperp0.1.log     1   202 201-202     left-moving     6.72e-06      7000
Kondo2LayerJh4U18t21Jperp0.1.log     2   201 201-202     right-moving    7.12e-06      7000
Kondo2LayerJh4U18t21Jperp0.1.log     2   202 201-202     left-moving     7.31e-06      7000
Kondo2LayerJh4U18t21Jperp0.1.log     3   201 201-202     right-moving    7.35e-06      7000
Kondo2LayerJh4U18t21Jperp0.1.log     3   202 201-202     left-moving     7.42e-06      7000
Kondo2LayerJh4U18t21Jperp0.1.log     4   201 201-202     right-moving    7.41e-06      7000
Kondo2LayerJh4U18t21Jperp0.1.log     4   202 201-202     left-moving     7.44e-06      7000
Kondo2LayerJh4U18t21Jperp0.1.log     5   201 201-202     right-moving    7.43e-06      7000
Kondo2LayerJh4U18t21Jperp0.1.log     5   202 201-202     left-moving     7.46e-06      7000
Kondo2LayerJh4U18t21Jperp0.1.log     6   201 201-202     right-moving    7.44e-06      7000
Kondo2LayerJh4U18t21Jperp0.1.log     6   202 201-202     left-moving     7.46e-06      7000
Kondo2LayerJh4U18t21Jperp0.1.log     7   201 201-202     right-moving    7.45e-06      7000
Kondo2LayerJh4U18t21Jperp0.1.log     7   202 201-202     left-moving     7.47e-06      7000
Kondo2LayerJh4U18t21Jperp0.1.log     1   201 201-202     right-moving    4.75e-06      8000
Kondo2LayerJh4U18t21Jperp0.1.log     1   202 201-202     left-moving     6.20e-06      8000
