Truncation Errors for Middle Bond (201-202) with D>=3000 (Jperp=1)
==============================================================================================================
Filename                Sweep  Site Bond        Direction       TruncErr  Bond Dim
--------------------------------------------------------------------------------------------------------------
Kondo2LayerJh4U18t21Jperp1.log     1   201 201-202     right-moving    8.22e-06      2000
Kondo2LayerJh4U18t21Jperp1.log     1   202 201-202     left-moving     1.53e-05      2000
Kondo2LayerJh4U18t21Jperp1.log     2   201 201-202     right-moving    2.37e-05      2000
Kondo2LayerJh4U18t21Jperp1.log     2   202 201-202     left-moving     2.57e-05      2000
Kondo2LayerJh4U18t21Jperp1.log     3   201 201-202     right-moving    2.74e-05      2000
Kondo2LayerJh4U18t21Jperp1.log     3   202 201-202     left-moving     2.81e-05      2000
Kondo2LayerJh4U18t21Jperp1.log     4   201 201-202     right-moving    2.89e-05      2000
Kondo2LayerJh4U18t21Jperp1.log     4   202 201-202     left-moving     2.96e-05      2000
Kondo2LayerJh4U18t21Jperp1.log     5   201 201-202     right-moving    3.06e-05      2000
Kondo2LayerJh4U18t21Jperp1.log     5   202 201-202     left-moving     3.12e-05      2000
Kondo2LayerJh4U18t21Jperp1.log     6   201 201-202     right-moving    3.20e-05      2000
Kondo2LayerJh4U18t21Jperp1.log     6   202 201-202     left-moving     3.26e-05      2000
Kondo2LayerJh4U18t21Jperp1.log     1   201 201-202     right-moving    6.73e-06      3000
Kondo2LayerJh4U18t21Jperp1.log     1   202 201-202     left-moving     1.49e-05      3000
Kondo2LayerJh4U18t21Jperp1.log     2   201 201-202     right-moving    2.04e-05      3000
Kondo2LayerJh4U18t21Jperp1.log     2   202 201-202     left-moving     2.31e-05      3000
Kondo2LayerJh4U18t21Jperp1.log     3   201 201-202     right-moving    2.66e-05      3000
Kondo2LayerJh4U18t21Jperp1.log     3   202 201-202     left-moving     1.17e-05      3000
Kondo2LayerJh4U18t21Jperp1.log     4   201 201-202     right-moving    1.68e-05      3000
Kondo2LayerJh4U18t21Jperp1.log     4   202 201-202     left-moving     1.84e-05      3000
Kondo2LayerJh4U18t21Jperp1.log     5   201 201-202     right-moving    2.03e-05      3000
Kondo2LayerJh4U18t21Jperp1.log     5   202 201-202     left-moving     2.07e-05      3000
Kondo2LayerJh4U18t21Jperp1.log     6   201 201-202     right-moving    2.08e-05      3000
Kondo2LayerJh4U18t21Jperp1.log     6   202 201-202     left-moving     2.08e-05      3000
Kondo2LayerJh4U18t21Jperp1.log     1   201 201-202     right-moving    7.18e-06      4000
Kondo2LayerJh4U18t21Jperp1.log     1   202 201-202     left-moving     1.16e-05      4000
Kondo2LayerJh4U18t21Jperp1.log     2   201 201-202     right-moving    1.36e-05      4000
Kondo2LayerJh4U18t21Jperp1.log     2   202 201-202     left-moving     1.40e-05      4000
Kondo2LayerJh4U18t21Jperp1.log     3   201 201-202     right-moving    1.45e-05      4000
Kondo2LayerJh4U18t21Jperp1.log     3   202 201-202     left-moving     1.46e-05      4000
Kondo2LayerJh4U18t21Jperp1.log     4   201 201-202     right-moving    1.47e-05      4000
Kondo2LayerJh4U18t21Jperp1.log     4   202 201-202     left-moving     1.48e-05      4000
Kondo2LayerJh4U18t21Jperp1.log     5   201 201-202     right-moving    1.48e-05      4000
Kondo2LayerJh4U18t21Jperp1.log     5   202 201-202     left-moving     1.49e-05      4000
Kondo2LayerJh4U18t21Jperp1.log     6   201 201-202     right-moving    1.49e-05      4000
Kondo2LayerJh4U18t21Jperp1.log     6   202 201-202     left-moving     1.49e-05      4000
Kondo2LayerJh4U18t21Jperp1.log     1   201 201-202     right-moving    3.07e-06      6000
Kondo2LayerJh4U18t21Jperp1.log     1   202 201-202     left-moving     6.20e-06      6000
Kondo2LayerJh4U18t21Jperp1.log     2   201 201-202     right-moving    8.14e-06      6000
Kondo2LayerJh4U18t21Jperp1.log     2   202 201-202     left-moving     8.52e-06      6000
Kondo2LayerJh4U18t21Jperp1.log     3   201 201-202     right-moving    8.79e-06      6000
Kondo2LayerJh4U18t21Jperp1.log     3   202 201-202     left-moving     8.87e-06      6000
Kondo2LayerJh4U18t21Jperp1.log     4   201 201-202     right-moving    8.94e-06      6000
Kondo2LayerJh4U18t21Jperp1.log     4   202 201-202     left-moving     8.98e-06      6000
Kondo2LayerJh4U18t21Jperp1.log     5   201 201-202     right-moving    9.01e-06      6000
Kondo2LayerJh4U18t21Jperp1.log     5   202 201-202     left-moving     9.03e-06      6000
Kondo2LayerJh4U18t21Jperp1.log     6   201 201-202     right-moving    9.04e-06      6000
Kondo2LayerJh4U18t21Jperp1.log     6   202 201-202     left-moving     9.05e-06      6000
Kondo2LayerJh4U18t21Jperp1.log     1   201 201-202     right-moving    3.09e-06      8000
Kondo2LayerJh4U18t21Jperp1.log     1   202 201-202     left-moving     4.94e-06      8000
Kondo2LayerJh4U18t21Jperp1.log     2   201 201-202     right-moving    5.74e-06      8000
Kondo2LayerJh4U18t21Jperp1.log     2   202 201-202     left-moving     5.92e-06      8000
Kondo2LayerJh4U18t21Jperp1.log     3   201 201-202     right-moving    6.01e-06      8000
Kondo2LayerJh4U18t21Jperp1.log     3   202 201-202     left-moving     6.04e-06      8000
Kondo2LayerJh4U18t21Jperp1.log     4   201 201-202     right-moving    6.07e-06      8000
Kondo2LayerJh4U18t21Jperp1.log     4   202 201-202     left-moving     6.08e-06      8000
Kondo2LayerJh4U18t21Jperp1.log     5   201 201-202     right-moving    6.10e-06      8000
Kondo2LayerJh4U18t21Jperp1.log     5   202 201-202     left-moving     6.11e-06      8000
Kondo2LayerJh4U18t21Jperp1.log     6   201 201-202     right-moving    6.12e-06      8000
Kondo2LayerJh4U18t21Jperp1.log     6   202 201-202     left-moving     6.13e-06      8000
Jh4U18Jperp1D10000.log      1   201 201-202     right-moving    6.92e-06     10000
Jh4U18Jperp1D10000.log      1   202 201-202     left-moving     5.43e-06     10000
Jh4U18Jperp1D10000.log      2   201 201-202     right-moving    4.71e-06     10000
